StateWellNumber,LatDD,LonDD,Avg_Fl,chtexture_texcl,Well_Depth,slope_l,slope_r,slope_h,elev_l,elev_r,elev_h,sandtotal_l,sandtotal_r,sandtotal_h,claytotal_l,claytotal_r,claytotal_h,om_l,om_r,om_h,ksat_l,ksat_r,ksat_h,awc_l,awc_r,awc_h,wsatiated_l,wsatiated_r,wsatiated_h,ll_l,ll_r,ll_h,pi_l,pi_r,pi_h,kwfact,kffact,ec_l,ec_r,ec_h,ph_l,ph_r,ph_h,PPT,Tmean,Aquifer,FN_ID
2925405,32.558612,-100.976111,0.33,Fine sandy loam,510,1,2,3,457.200012,617.200012,944.900024,40,55,65,18,28,35,0,0.25,0.5,4,9,14,0.08,0.15,0.17,35,38,41,25,38,45,13,19,25,0.24,0.24,0,0,2,6.4,7.5,8.4,539.718994,17.77,Dockum,1261
2927301,32.605278,-100.640834,2.31,Loam,140,1,2,3,671,907,1143,0,34.700001,50,20,27.5,35,0.1,0.3,0.5,4,9,14,0.1,0.13,0.15,0,37,0,20,30,40,8,16,24,0.32,0.32,0,1,2,7.9,8.2,8.4,569.48999,17.559999,Dockum,1313
2927303,32.607223,-100.631667,1.26,Loam,85,3,4,5,671,907,1143,0,34.700001,50,20,27.5,35,0.1,0.3,0.5,4,9,14,0.1,0.13,0.15,0,37,0,20,30,40,8,16,24,0.32,0.32,0,1,2,7.9,8.2,8.4,570.255005,17.559999,Dockum,1313
2935811,32.389445,-100.683611,1.96,Fine sandy loam,160,1,2,3,518,716,914,0,66.099998,0,10,14,18,0.5,0.75,1,14,28,42,0.1,0.12,0.14,0,40,0,15,20,25,1,4,7,0.28,0.28,0,1,2,7.9,8.2,8.4,558.615967,17.59,Dockum,1171
2936109,32.49,-100.588333,1.945,Loam,170,1,3,5,671,907,1143,0,34.400002,0,20,28,35,0.1,0.3,0.5,4,9,14,0.1,0.14,0.18,0,40,0,25,32.5,40,11,17.5,24,0.32,0.32,0,1,2,7.9,8.2,8.4,551.830994,17.629999,Dockum,1220
2936504,32.443889,-100.545,1.31,Clay,160,0,0.5,1,457,730,866,15,22.1,0,40,50,60,0.5,0.75,1,0.01,0.21,0.42,0.09,0.12,0.14,0,41,0,50,60,70,29,36,44,0.17,0.24,0,1,2,7.4,7.7,8.4,542.695984,17.619999,Dockum,1220
2936529,32.443056,-100.545834,1.225,Clay,200,0,0.5,1,457,730,866,15,22.1,0,40,50,60,0.5,0.75,1,0.01,0.21,0.42,0.09,0.12,0.14,0,41,0,50,60,70,29,36,44,0.17,0.24,0,1,2,7.4,7.7,8.4,542.695984,17.619999,Dockum,1220
2943606,32.295278,-100.633055,0.67,Loam,210,1,3,5,671,907,1143,0,34.400002,0,20,28,35,0.1,0.3,0.5,4,9,14,0.1,0.14,0.18,0,40,0,25,32.5,40,11,17.5,24,0.32,0.32,0,1,2,7.9,8.2,8.4,566.237,17.559999,Dockum,1125
4408604,31.934167,-101.031944,0.83,Loam,292,3,10,30,602,754.400024,838.200012,23,30,40,20,24,27,3,7,12,4,9,14,0.04,0.08,0.1,9,17,36,28,35,40,7,15,20,0.05,0.24,0,1,2,7.4,8,8.4,513.718994,17.709999,Dockum,885
4436809,31.396111,-101.545556,2.5,Silty clay,700,1,2,3,457,648,838,0,7.7,0,35,42.5,50,0.5,0.75,1,1.4,2.7,4,0.14,0.17,0.2,0,41,0,37,48.5,60,20,29,38,0.32,0.32,0,1,2,7.9,8.2,8.4,451.030975,17.98,Dockum,502
